Product Name,Price (INR),Product ID,HS Code,Subcategory,Clean Image URL
TERRACOTTA RADHA KRISHNA IDOL,53.75-56.44,BBE-SRID-ID-TE-0049,69120040,Terracotta,https://www.bluebloodexports.com/images/products/img_0499_product-jpeg-500x500.jpg
TERRACOTTA CLAY LAXMIJI- GANESHJI IDOL,182.75-191.89,BBE-SRID-ID-TE-0050,69120040,Terracotta,https://www.bluebloodexports.com/images/products/img_0500_product-jpeg-500x500.jpg
TERRACOTTA CLAY HANDMADE HANDCRAFTED OWL STATUE FIGURINE,483.75-507.94,BBE-SRID-ID-TE-0051,69120040,Terracotta,https://www.bluebloodexports.com/images/products/img_0501_product-jpeg-500x500.jpg
Terracotta Showpiece Statue,806.25-846.56,BBE-SRID-ID-TE-0052,69120040,Terracotta,https://www.bluebloodexports.com/images/products/img_0502_product-jpeg-500x500.jpg
Terracotta Showpiece (Brown),1290-1354.5,BBE-SRID-SH-TE-0053,69120040,Terracotta,https://www.bluebloodexports.com/images/products/img_0503_product-jpeg-500x500.jpg
TERRACOTTA CLAY HANDMADE HANDCRAFTED TABLETOP DESKTOP FLOWERVAS,322.5-338.63,BBE-SRID-SH-TE-0054,69120040,Terracotta,https://www.bluebloodexports.com/images/products/img_0504_product-jpeg-500x500.jpg
PEN STAND/DESK ORGANISER/TERRACOTTA CLAY TABLE DECOR SHOWPIECE,64.5-67.73,BBE-SRID-DE-TE-0055,69120040,Terracotta,https://www.bluebloodexports.com/images/products/img_0505_product-jpeg-500x500.jpg
TERRACOTTA CLAY HANDMADE HANDCRAFTED TABLE DECOR FLOWER VASE,322.5-338.63,BBE-SRID-FL-TE-0056,69120040,Terracotta,https://www.bluebloodexports.com/images/products/img_0506_product-jpeg-500x500.jpg
BAMBOO WALL HANGING WITH TERRACOTTA AND SHOLA(INDIAN CORK)..MA DURGA FACE,215-225.75,BBE-SRID-WA-TE-0058,69120040,Terracotta,https://www.bluebloodexports.com/images/products/img_0507_product-jpeg-500x500.jpeg
Terracotta Ganesha Parvati Idol,107.5-112.88,BBE-SRID-ID-TE-0059,69120040,Terracotta,https://www.bluebloodexports.com/images/products/img_0508_product-jpeg-500x500.jpg
